Audio files,beatmaps,avg bm to audio,total frames,avg_frames in audio
32,121,3.75,2365514,19549.702479338845
circle,slider,reverse,spinner,total,avg obj to frames
44555,37589,4753,211,82355,0.034227353165084316
avgTempo,median tempo,std dev tempo,highest tempo,lowest tempo
174.47107438016528,178.00000000000009,30.54046885181497,219.99999999999977,75.49999999999999
avg diff,median diff,std dev diff
2.4545454545454546,2.0,1.4373989364401725
avg pattern len,median pattern len,std dev pattern,longest pattern
3.776320616287601,6,2.124677826838264,17
pattern histogram
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2614,4568,3842,4075,2472,1793,1050,777,328,162,57,47,12,1,1,7,2
