Audio files,beatmaps,avg bm to audio,total frames,avg_frames in audio
52,406,7.6923076923076925,3964804,9765.52709359606
circle,slider,reverse,spinner,total,avg obj to frames
82107,62475,11321,359,144941,0.03667523030181509
avgTempo,median tempo,std dev tempo,highest tempo,lowest tempo
189.16887410414705,180.0000000000002,24.31661953055075,360.30000000000047,83.09999999999995
avg diff,median diff,std dev diff
2.7857142857142856,4,1.3828267105717893
avg pattern len,median pattern len,std dev pattern,longest pattern
4.310739672248164,3.5,2.368081478579959,20
pattern histogram
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
2308,5719,4731,8024,4641,3458,1655,1540,564,369,158,116,67,44,20,195,10,3,0,1
